Date,Country,Engaged sessions,WC (web conversions),WQC (web qualified conversions)
20171129,Finland,41,2,0
20171207,Sweden,41,3,0
20171209,Colombia,41,2,1
20171119,Italy,40,8,2
20171125,Italy,40,5,1
20171126,Italy,40,9,1
20171205,China,40,0,0
20171206,Sweden,40,9,3
20171210,Sweden,40,3,1
20171212,Norway,40,5,0
20171117,Norway,39,7,1
20171119,Colombia,39,3,1
20171121,Colombia,39,2,1
20171126,Norway,39,3,0
20171207,Italy,39,7,0
20171211,Sweden,39,4,0
20171213,Norway,39,4,0
20171116,Norway,38,6,1
20171121,Finland,38,0,0
20171125,Chile,38,2,2
20171128,Finland,38,3,0
20171215,Finland,38,0,0
20171215,Sweden,38,4,1
20171117,Finland,37,3,0
20171122,Colombia,37,1,0
20171201,China,37,0,0
20171205,Spain,37,4,0
20171206,Italy,37,3,0
20171207,China,37,0,0
20171214,China,37,0,0
20171123,Finland,36,2,0
20171123,Norway,36,6,0
20171125,Norway,36,5,0
20171203,Italy,36,4,1
20171204,Finland,36,1,0
20171209,China,36,0,0
20171213,China,36,0,0
20171213,Sweden,36,4,0
20171117,Colombia,35,1,1
20171120,Norway,35,3,0
20171202,Norway,35,5,0
20171207,Finland,35,5,0
20171125,Finland,34,2,0
20171128,Colombia,34,2,2
20171130,Chile,34,3,1
20171208,Italy,34,4,0
20171210,Italy,34,5,0
20171211,China,34,0,0
20171213,Finland,34,5,0
20171123,Colombia,33,1,0
20171205,Italy,33,7,2
20171209,Italy,33,1,0
20171209,Norway,33,7,0
20171210,Norway,33,5,0
20171214,Sweden,33,2,0
20171119,Finland,32,1,0
20171120,Finland,31,3,1
20171122,Switzerland,31,2,0
20171122,China,31,0,0
20171129,Colombia,31,3,0
20171212,China,31,0,0
20171116,Finland,30,2,0
20171130,Finland,30,0,0
20171210,Finland,30,1,0
20171212,Colombia,30,1,0
20171212,Finland,30,4,0
20171215,China,30,0,0
20171118,China,29,0,0
20171118,Colombia,29,1,1
20171120,China,29,0,0
20171127,Colombia,29,2,1
20171130,China,29,1,0
20171213,Colombia,29,1,0
20171214,Norway,29,4,0
20171215,Colombia,29,0,0
20171116,China,28,0,0
20171123,China,28,0,0
20171124,Russia,28,2,0
20171126,Finland,28,4,1
20171201,Chile,28,1,1
20171211,Finland,28,3,0
20171117,China,27,0,0
20171120,Netherlands,27,3,0
20171121,China,27,0,0
20171201,Finland,27,2,0
20171203,China,27,1,0
20171206,China,27,0,0
20171207,Colombia,27,1,1
20171214,Finland,27,5,0
20171118,Finland,26,5,0
20171122,Norway,26,3,0
20171124,China,26,0,0
20171208,Colombia,26,0,0
20171208,Finland,26,3,0
20171214,Colombia,26,0,0
20171119,Saudi Arabia,25,4,0
20171124,Colombia,25,0,0
20171126,Colombia,25,0,0
20171127,China,25,0,0
20171203,Colombia,25,1,0
20171203,Finland,25,2,1
20171204,Russia,25,8,0
20171213,Italy,25,1,0
20171126,China,24,0,0
20171130,Colombia,24,1,1
20171202,Colombia,24,2,1
20171208,China,24,0,0
20171210,China,24,0,0
20171211,Switzerland,24,1,0
20171125,Colombia,23,2,0
20171127,South Africa,23,4,0
20171205,Finland,23,4,0
20171209,Finland,23,2,2
20171215,Peru,23,0,0
20171119,Netherlands,22,4,0
20171125,China,22,0,0
20171128,Russia,22,3,0
20171128,Saudi Arabia,22,4,0
20171130,Russia,22,1,0
20171201,Colombia,22,1,1
20171205,Puerto Rico,22,1,0
20171210,Peru,22,0,0
20171117,Netherlands,21,2,0
20171118,Saudi Arabia,21,9,0
20171122,South Africa,21,4,0
20171128,Thailand,21,1,0
20171202,China,21,0,0
20171214,Peru,21,0,0
20171119,China,20,0,0
20171121,Netherlands,20,1,0
20171121,South Africa,20,6,1
20171123,Netherlands,20,1,0
20171126,Saudi Arabia,20,6,0
20171129,Belgium,20,3,0
20171130,Netherlands,20,7,0
20171203,Puerto Rico,20,1,0
20171206,Colombia,20,1,1
20171208,Peru,20,0,0
20171211,South Africa,20,6,1
20171212,Thailand,20,7,0
20171116,Netherlands,19,7,0
20171118,Netherlands,19,1,1
20171122,Netherlands,19,3,0
20171126,Belgium,19,0,0
20171127,Belgium,19,2,0
20171129,Russia,19,1,0
20171204,Paraguay,19,1,0
20171118,Belgium,18,0,0
20171120,Saudi Arabia,18,4,0
20171123,Russia,18,2,0
20171126,Netherlands,18,2,0
20171129,Saudi Arabia,18,1,0
20171130,Saudi Arabia,18,5,0
20171204,Peru,18,0,0
20171204,Thailand,18,4,0
20171205,Netherlands,18,5,0
20171206,Finland,18,2,0
20171206,Thailand,18,1,0
20171212,South Africa,18,1,0
20171213,Thailand,18,4,0
20171121,Saudi Arabia,17,7,0
20171122,Belgium,17,5,0
20171122,India,17,5,2
20171122,Thailand,17,6,0
20171126,Poland,17,1,0
20171128,Belgium,17,1,1
20171128,Tunisia,17,0,0
20171202,Finland,17,3,1
20171204,Colombia,17,0,0
20171205,Russia,17,6,0
